protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
UniRef90_P16070-16,0.044402839,0.039138708,0.023513568,0.024082114,0.028258883,0,0.020331322,0.032944435
UniRef90_P50991,0.021871798,0.019133963,0,0.016970073,0,0,0,0.034700874
UniRef90_F1SM75,0.014417012,0.022283045,0.016734722,0.016978554,0.014978664,0,0,0.018360779
UniRef90_J3QRP4,0.010562603,0.00468175,0,0.005110258,0.007914116,0,0,0.007641843
UniRef90_M0R0K6,0.007209555,0.012103849,0,0,0,0,0,0.009643322
UniRef90_H0YJW7,0,0.007420636,0,0,0,0,0,0.007641983
UniRef90_Q4G017,0,0.01210291,0,0,0,0,0,0.012464013
UniRef90_F1LTR1,0.015111999,0.014841423,0.012505314,0,0.012907119,0.013565698,0,0
UniRef90_E9PRC8,0.007209742,0,0,0,0,0,0,0
UniRef90_Q8NFH3,0.0379022,0.036945056,0.025101779,0.014260505,0.022463693,0.024569803,0.008735133,0.032669569
UniRef90_Q5HZV9,0.004548671,0.012103251,0.004837541,0,0.009986993,0,0,0
UniRef90_Q95KI0,0,0.038430037,0.011212795,0,0.021181268,0,0,0.031132527
UniRef90_P20645,0,0.010871336,0,0,0,0,0,0
UniRef90_Q8N3C0,0.004548784,0,0,0,0,0,0,0.004821494
UniRef90_P16298,0.011751024,0.01313675,0.011226414,0.027260863,0.026031799,0,0,0.025850151
UniRef90_H7C391,0.010562386,0.010871469,0,0,0.00791394,0,0,0.007641838
UniRef90_Q14714,0,0.049560398,0.011155785,0.008043561,0.03593706,0,0,0.020350146
UniRef90_A0A286ZIL5,0.004548792,0,0,0,0,0,0,0
UniRef90_Q62703,0.007209644,0.007420565,0,0,0.004993096,0,0,0.009643442
UniRef90_H0YN88,0.019983726,0,0,0,0.004993034,0,0,0
UniRef90_M0R021,0.015102343,0.026489476,0,0.008094918,0.019012404,0,0,0.023448968
UniRef90_Q9HCC0,0.007209618,0.010871186,0,0,0.007913986,0,0,0.011195512
UniRef90_A0A061I1F0,0.007209714,0,0,0,0.011595052,0,0,0
UniRef90_A0A0G2JF64,0.0072095,0.018293852,0,0,0,0,0,0.018840076
UniRef90_P14324,0.040203665,0.034500289,0.040113222,0.028908171,0.033464829,0.03064871,0.024500312,0.034396474
UniRef90_Q15147-5,0.025147544,0.010869977,0.007666279,0,0.007912676,0,0,0.017288505
UniRef90_H0Y8X2,0.004548057,0.019528593,0.01533642,0.017680169,0,0.008315953,0,0.01928991
UniRef90_F1RK48,0.041463286,0.033421825,0.028069784,0.032166334,0.027553968,0.023561274,0.024218098,0.039479845
UniRef90_O08795,0,0.007420621,0,0.008099905,0,0,0,0
UniRef90_K7EQK2,0,0.007420688,0,0,0,0,0,0.009643641
UniRef90_P42932,0,0,0.01673728,0,0.017274794,0.018158584,0,0
UniRef90_P06683,0.038308586,0.036584031,0.015241886,0.031630967,0.023617474,0.008263646,0.031822576,0.031966669
UniRef90_F8W180,0.019327637,0.019141664,0.007665388,0.018913576,0.019509502,0,0,0.020488587
UniRef90_Q5T0D2,0.010561013,0.022284695,0,0.00510949,0.00998552,0,0,0.011194487
UniRef90_Q5BJK8,0.004548792,0,0,0,0,0,0,0
